Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-04-20,77972.5390625,78065.47415077474,77229.05835630215,77414.92853285161,15521965
2021-04-21,76764.375,77600.79070823244,76671.43992130751,77414.92055084746,21636079
2021-04-22,76578.5234375,77136.13404505461,76578.5234375,77043.1989437955,13934746
2021-04-23,76950.2421875,77043.17726260568,75835.02128623187,76113.8265115489,17805080
2021-04-26,77600.796875,77600.796875,76764.3811002994,77043.18635853293,15489938
2021-04-27,77043.1796875,77414.91999962305,76671.43937537697,77321.98492159229,12941533
2021-04-28,76299.6953125,77321.98112058465,76299.6953125,77321.98112058465,15596759
2021-04-29,75927.9609375,76671.44158315484,75742.09077608629,76578.50650244798,20000973
2021-04-30,75742.0859375,76299.69638611963,75742.0859375,76113.82623657976,18673197
2021-05-03,75927.9609375,76578.50650244798,75277.41537255202,75277.41537255202,15710336
2021-05-04,76764.375,76764.375,76020.89437046005,76113.82944915254,12532550
2021-05-06,76485.5625,76485.5625,75927.95208080194,75927.95208080194,17047511
2021-05-07,76113.8359375,76299.70611072954,75742.0955910409,76020.90085088523,14154882
2021-05-10,77321.9765625,77600.78176645131,76020.88561072716,76485.56095064603,19385027
2021-05-11,75463.28125,76764.3723060345,75370.34617456897,76671.43723060345,28996680
2021-05-12,74348.0625,75463.28343750001,74162.19234375001,75091.543125,35812268
2021-05-13,72954.0390625,73976.32496019108,72861.10398089173,73325.77938893312,31490096
2021-05-14,74440.9921875,74626.86233029026,73325.77133075842,73418.70640215356,16450920
2021-05-17,73976.328125,75184.48423759422,73604.58778266331,75091.54915201005,17740855
2021-05-18,73976.328125,74348.06846733668,73511.65269707915,73976.328125,17494407
2021-05-20,73883.375,74069.24512578617,73511.63474842768,73790.43993710692,16541828
2021-05-21,74440.9921875,75742.08318703184,74162.1869733146,74440.9921875,20961714
2021-05-24,74069.2734375,74719.81912641154,73883.40324066814,74441.01383116374,13398666
2021-05-25,74255.125,74719.80037546933,74162.18992490614,74348.06007509388,13628942
2021-05-26,74162.203125,74812.74876644736,74069.26803336466,74719.81367481203,11984359
2021-05-27,73976.328125,74348.06846733668,73511.65269707915,74348.06846733668,23198510
2021-05-28,74440.9921875,74719.7974016854,73790.44668773409,74162.1869733146,12360199
2021-05-31,74812.734375,74905.66944875776,73976.31871118012,74626.86422748448,13321324
2021-06-01,74905.671875,75556.21741237593,74440.99649116005,74812.73679823201,14058401
2021-06-02,75091.546875,75649.15737159654,74626.87146116955,74719.80654393564,16414644
2021-06-03,76950.2421875,77136.11233771135,75370.3459107035,75556.21606091486,29546007
2021-06-04,76392.640625,76857.31605459246,75742.09502357057,76857.31605459246,18112259
2021-06-07,76113.8359375,76950.25171703297,75835.03067765567,76857.3166304182,16496197
2021-06-08,76113.8359375,76764.38154380342,76020.90085088523,76485.57628395909,12781226
2021-06-09,75370.34375,76206.75940197287,75370.34375,75742.08403976572,14908823
2021-06-10,75277.421875,75649.16222993827,75184.48678626544,75556.22714120371,17586995
2021-06-11,75277.421875,75927.96749614198,74998.6166087963,75463.29205246914,14087962
2021-06-14,74812.734375,75184.47467003105,74812.734375,75091.53959627329,10550078
2021-06-15,75184.4921875,75463.29747373301,74905.68690126699,75184.4921875,10075685
2021-06-16,76020.890625,76113.82569911369,75370.34510620416,75742.08540265892,14999855
2021-06-17,75184.4921875,75556.232569144,74998.62199667799,75370.362378322,14007385
2021-06-18,74812.734375,75370.34481754659,74812.734375,75370.34481754659,14916721
2021-06-21,74255.125,74348.06007509388,73976.3197747184,74069.25484981226,16063340
2021-06-22,74348.0625,74626.867734375,74255.127421875,74533.93265625,11773365
2021-06-23,74440.9921875,74905.66754447565,74255.12204470974,74812.73247308053,13856548
2021-06-24,75463.28125,75649.15140086207,74440.99542025862,74719.80064655172,18771080
